text,class_id,class_name
Portions of leaf removed. Skeletonized areas on some leaves. Frass present nearby. Rust-coloured patches on lower leaf. Upper surface pale above affected areas.,3,LOOPER_CATERPILLARS
Large irregular sections of leaf tissue removed. Frass deposits and silk threads present near damage sites. Browning from leaf tip progressing inward. Soft water-soaked appearance at active edge.,3,LOOPER_CATERPILLARS
Leaf tissue missing in irregular patches. Ragged edges at margin. Origin not confirmed.,3,LOOPER_CATERPILLARS
Irregular holes across leaf blade with ragged edges. Frass pellets visible on remaining tissue beneath. Browning from leaf tip progressing inward. Soft water-soaked appearance at active edge.,3,LOOPER_CATERPILLARS
Leaf lamina partially consumed leaving midrib and major veins. Feeding damage across multiple leaves in canopy. Orange deposits visible on leaf underside. Slow spread. Surrounding tissue slightly yellow.,3,LOOPER_CATERPILLARS
Leaf tissue missing in irregular patches. Ragged edges at margin. Origin not confirmed. Rust-coloured patches on lower leaf. Upper surface pale above affected areas.,3,LOOPER_CATERPILLARS
Leaf lamina partially consumed leaving midrib and major veins. Feeding damage across multiple leaves in canopy. Fine stippling on upper surface. Some leaf curl. Could reflect feeding damage or other stress.,3,LOOPER_CATERPILLARS
Upper leaf surface stripped away in patches. Veins exposed. Frass pellets and silk webbing visible nearby. Whitish flecks on leaf blade. Tip region most affected. Leaves feel dry.,3,LOOPER_CATERPILLARS
Leaf tissue missing in irregular patches. Ragged edges at margin. Origin not confirmed. Orange-yellow spots on leaf surface. Powdery texture. Both leaf surfaces show discolouration.,3,LOOPER_CATERPILLARS
Leaf tissue missing in irregular patches. Ragged edges at margin. Origin not confirmed.,3,LOOPER_CATERPILLARS
Irregular holes across leaf blade with ragged edges. Frass pellets visible on remaining tissue beneath.,3,LOOPER_CATERPILLARS
Upper leaf surface stripped away in patches. Veins exposed. Frass pellets and silk webbing visible nearby.,3,LOOPER_CATERPILLARS
Leaf lamina partially consumed leaving midrib and major veins. Feeding damage across multiple leaves in canopy. Fine stippling on upper surface. Some leaf curl. Could reflect feeding damage or other stress.,3,LOOPER_CATERPILLARS
Extensive leaf tissue loss with ragged torn edges. Multiple feeding sites across several adjacent leaves.,3,LOOPER_CATERPILLARS
Portions of leaf removed. Skeletonized areas on some leaves. Frass present nearby. Fine stippling on upper surface. Some leaf curl. Could reflect feeding damage or other stress.,3,LOOPER_CATERPILLARS
Skeletonized patches where only the major veins remain intact. Leaf edges highly irregular from feeding. Brown patches on leaf margins. Tissue soft at edges. Worse in lower shaded canopy.,3,LOOPER_CATERPILLARS
Extensive leaf tissue loss with ragged torn edges. Multiple feeding sites across several adjacent leaves.,3,LOOPER_CATERPILLARS
Skeletonized patches where only the major veins remain intact. Leaf edges highly irregular from feeding. Orange deposits visible on leaf underside. Slow spread. Surrounding tissue slightly yellow.,3,LOOPER_CATERPILLARS
Skeletonized patches where only the major veins remain intact. Leaf edges highly irregular from feeding.,3,LOOPER_CATERPILLARS
