num_clients,seed,round,macro_f1,accuracy,nll,ece,elapsed_seconds
2,42,1,0.90988862988863,0.9594594594594594,0.34152379631996155,0.1944917086008433,7.376562100000228
2,42,2,0.8991045991045992,0.9459459459459459,0.33638671040534973,0.17663519567734487,6.175323800000115
2,42,3,0.90988862988863,0.9594594594594594,0.31451597809791565,0.18831693401207797,6.459090800000922
2,42,4,0.90988862988863,0.9594594594594594,0.3240348696708679,0.18527238916706393,6.060507000000143
2,42,5,0.8991045991045992,0.9459459459459459,0.3220880627632141,0.19957086766088333,5.858382200000051
2,42,6,0.893911421911422,0.9459459459459459,0.3124590814113617,0.15269061681386586,5.89079380000112
2,42,7,0.90988862988863,0.9594594594594594,0.3019774854183197,0.16906611057552132,5.943157400000928
2,42,8,0.90988862988863,0.9594594594594594,0.3211507499217987,0.18535105360520854,5.710183799999868
2,123,1,0.8831680911680913,0.9324324324324325,0.3372578024864197,0.19150667899363752,6.239557599999898
2,123,2,0.893911421911422,0.9459459459459459,0.37348416447639465,0.20324074899828112,5.75109220000013
2,123,3,0.8991045991045992,0.9459459459459459,0.32961565256118774,0.2128986418247223,6.047203499998432
2,123,4,0.90988862988863,0.9594594594594594,0.304237961769104,0.19396872375462507,6.356529799999407
2,123,5,0.90988862988863,0.9594594594594594,0.29499953985214233,0.17294696658044248,6.451961500000834
2,123,6,0.90988862988863,0.9594594594594594,0.27708637714385986,0.16395332120560313,6.136213900001167
2,123,7,0.90988862988863,0.9594594594594594,0.31066980957984924,0.1742889321333653,7.033592600000702
2,123,8,0.90988862988863,0.9594594594594594,0.2910236418247223,0.17896815651171916,7.283419200000935
2,2026,1,0.8991045991045992,0.9459459459459459,0.28566354513168335,0.15080613461700645,6.750272200000836
2,2026,2,0.8991045991045992,0.9459459459459459,0.4283134341239929,0.250709439048896,7.058255199999621
2,2026,3,0.8991045991045992,0.9459459459459459,0.3362081050872803,0.19588469774336428,6.980477899998732
2,2026,4,0.893911421911422,0.9459459459459459,0.3539491891860962,0.21921841719666046,9.485464800000045
2,2026,5,0.90988862988863,0.9594594594594594,0.3274378478527069,0.20603337078481107,9.93598639999982
2,2026,6,0.893911421911422,0.9459459459459459,0.33805957436561584,0.17453036316343257,8.571147700000438
2,2026,7,0.90988862988863,0.9594594594594594,0.2675144076347351,0.16226735590277494,10.39063829999941
2,2026,8,0.8574672854672855,0.9324324324324325,0.3782713711261749,0.18291577616253415,9.84199609999996
3,42,1,0.90988862988863,0.9594594594594594,0.29824551939964294,0.15838306981164058,9.336917200000244
3,42,2,0.8991045991045992,0.9459459459459459,0.3897290825843811,0.2101507585596394,7.617287099999885
3,42,3,0.90988862988863,0.9594594594594594,0.32779228687286377,0.18610353526231405,6.358061599999928
3,42,4,0.90988862988863,0.9594594594594594,0.3034450113773346,0.1801914725754712,6.130102700000862
3,42,5,0.90988862988863,0.9594594594594594,0.2955544590950012,0.17041824033131472,6.141167699999642
3,42,6,0.90988862988863,0.9594594594594594,0.3352999985218048,0.19183038738933772,6.415231399998447
3,42,7,0.90988862988863,0.9594594594594594,0.28606805205345154,0.17523024452699199,7.017454100001487
3,42,8,0.90988862988863,0.9594594594594594,0.2994351387023926,0.17481727455113386,7.364198299999771
3,123,1,0.90988862988863,0.9594594594594594,0.34291496872901917,0.20143838589255875,10.466576599999826
3,123,2,0.9512970460338881,0.9459459459459459,0.4384533762931824,0.24252587758206035,12.04055580000022
3,123,3,0.90988862988863,0.9594594594594594,0.354132741689682,0.2081633508205414,10.978794000000562
3,123,4,0.90988862988863,0.9594594594594594,0.35052183270454407,0.21625754317721807,8.4200067999991
3,123,5,0.893911421911422,0.9459459459459459,0.3305279612541199,0.17358924327669917,11.626273099998798
3,123,6,0.90988862988863,0.9594594594594594,0.3056323826313019,0.17811376098039988,10.254745799999
3,123,7,0.881128695865538,0.9324324324324325,0.3473133146762848,0.18865044374723694,8.989793099999588
